game_name,game_url,game_img_url,release_date,original_price,discount_price,discount_startdate,discount_enddate,genre,maker,play_number,product_type,game_language
GRADIUS ORIGINS,https://store.nintendo.co.kr/70010000074360,https://store.nintendo.co.kr/media/catalog/product/cache/ebd5a33ece56902317c945573bd6ef87/3/a/3aa056053571cb6c7e2583e62a17551cece821069b4d8e9fe7daa864816021e1.jpg,2025-08-07,53800.0,48420.0,2025-03-28 00:00,2025-08-06 23:59,"아케이드, 슈팅",KONAMI,1 ~ 2,SWC,"한국어, 영어, 스페인어, 프랑스어, 독일어, 이탈리아어, 포르투갈어, 일본어, 중국어"
Shadow Labyrinth (쉐도우 라비린스),https://store.nintendo.co.kr/70010000077048,https://store.nintendo.co.kr/media/catalog/product/cache/ebd5a33ece56902317c945573bd6ef87/6/4/6451698aa283e958b4e4a367019c82301795ef3c6bc938e4967b0d5de4b4902a.jpg,2025-07-17,39800.0,39800.0,,,액션,BANDAI NAMCO Entertainment,1 ~ 1,SWC,"한국어, 중국어"
HUNTER×HUNTER NEN×IMPACT,https://store.nintendo.co.kr/70010000084029,https://store.nintendo.co.kr/media/catalog/product/cache/ebd5a33ece56902317c945573bd6ef87/c/e/ce2b4cd8f3550c6d3a9e4b57d676c1620e910a7e7a047f86cd132f653bc63eec.jpg,2025-07-17,69800.0,69800.0,,,"액션, 격투",ARC SYSTEM WORKS,1 ~ 2,SWC,"영어, 일본어, 중국어"
The Wandering Village,https://store.nintendo.co.kr/70010000082518,https://store.nintendo.co.kr/media/catalog/product/cache/ebd5a33ece56902317c945573bd6ef87/3/b/3b7d907310f3b75c5bf241b25f5a34204036fed034456efb9dbf6cde9d6b69be.jpg,2025-07-17,32000.0,28800.0,2025-04-03 00:00,2025-07-16 23:59,"전략, 시뮬레이션",Stray Fawn,1 ~ 1,SWC,"한국어, 영어, 스페인어, 프랑스어, 독일어, 이탈리아어, 포르투갈어, 러시아어, 일본어, 중국어"
다마고치 원더 샵,https://store.nintendo.co.kr/70010000096183,https://store.nintendo.co.kr/media/catalog/product/cache/ebd5a33ece56902317c945573bd6ef87/7/5/75126a15a3678cba57b0cc89d1ba32b11cbfe97674a0eebf1eacda236e077956.jpg,2025-06-26,49800.0,49800.0,,,시뮬레이션,BANDAI NAMCO Entertainment,1 ~ 2,SWC,"한국어, 중국어"
한국 드론 플라잉 투어 남한강,https://store.nintendo.co.kr/70010000095370,https://store.nintendo.co.kr/media/catalog/product/cache/ebd5a33ece56902317c945573bd6ef87/4/d/4d0a5941c4ce9ab7649913d821d37c8f5a6978ff49475b51152429fc7d55bb63.jpg,2025-06-12,3200.0,3200.0,,,"아케이드, 시뮬레이션, 기타",14차원,1 ~ 1,SWC,"한국어, 영어, 스페인어, 프랑스어, 독일어, 이탈리아어, 네덜란드어, 포르투갈어, 러시아어, 일본어, 중국어"
Narcissus,https://store.nintendo.co.kr/70010000093778,https://store.nintendo.co.kr/media/catalog/product/cache/ebd5a33ece56902317c945573bd6ef87/5/1/5106ffde5e523053e1b57b19dadadcf786289812f951b7cce9e7339b5448b72c.jpg,2025-06-05,2500.0,2500.0,,,"액션, 아케이드, 슈팅, 기타",Mad Jackal Games,1 ~ 1,SWC,"영어, 스페인어, 프랑스어, 독일어, 이탈리아어, 러시아어, 일본어, 중국어"
한국 드론 플라잉 투어 북한강,https://store.nintendo.co.kr/70010000094863,https://store.nintendo.co.kr/media/catalog/product/cache/ebd5a33ece56902317c945573bd6ef87/b/b/bb50d25f929796542cd72388315e7d8aacb32172dca8d3ab1af3ed71995cd5cc.jpg,2025-05-29,3200.0,3200.0,,,"아케이드, 시뮬레이션, 기타",14차원,1 ~ 1,SWC,"한국어, 영어, 스페인어, 프랑스어, 독일어, 이탈리아어, 네덜란드어, 포르투갈어, 러시아어, 일본어, 중국어"
귀무자2 (Onimusha 2: Samurai's Destiny),https://store.nintendo.co.kr/70010000084001,https://store.nintendo.co.kr/media/catalog/product/cache/ebd5a33ece56902317c945573bd6ef87/b/a/ba0445e3be0611ab700cdef7475901d42c560e000fd4b81f08f9ee413e1c7393.jpg,2025-05-23,34800.0,34800.0,,,"액션, 어드벤처",CAPCOM,1 ~ 1,SWC,"한국어, 영어, 스페인어, 프랑스어, 독일어, 이탈리아어, 포르투갈어, 러시아어, 일본어, 중국어"
한국 드론 플라잉 투어 가평군,https://store.nintendo.co.kr/70010000095365,https://store.nintendo.co.kr/media/catalog/product/cache/ebd5a33ece56902317c945573bd6ef87/f/c/fc469acd507fa64eac815a8bc33dfa135c87fd9a0b8c031431ce2dc9bf97e7c9.jpg,2025-05-22,3200.0,3200.0,,,"아케이드, 시뮬레이션, 기타",14차원,1 ~ 1,SWC,"한국어, 영어, 스페인어, 프랑스어, 독일어, 이탈리아어, 네덜란드어, 포르투갈어, 러시아어, 일본어, 중국어"
MOBILE SUIT GUNDAM SEED BATTLE DESTINY REMASTERED,https://store.nintendo.co.kr/70010000095443,https://store.nintendo.co.kr/media/catalog/product/cache/ebd5a33ece56902317c945573bd6ef87/4/a/4a25c962d3fc736d66a4cfbaa68e3fda08e5fb23dee9867f69d2e58a507f3b2c.jpg,2025-05-22,49800.0,49800.0,,,"액션, RPG",BANDAI NAMCO Entertainment,1 ~ 1,SWC,"영어, 일본어, 중국어"
Capcom Fighting Collection 2,https://store.nintendo.co.kr/70010000070537,https://store.nintendo.co.kr/media/catalog/product/cache/ebd5a33ece56902317c945573bd6ef87/9/b/9b4eb5c75512740acf564cb7c37eaf40fcdaaa71b7eb5cd87a2faac14b82d066.jpg,2025-05-16,44800.0,44800.0,,,"아케이드, 격투",CAPCOM,1 ~ 4,SWC,"한국어, 영어, 스페인어, 프랑스어, 독일어, 이탈리아어, 포르투갈어, 러시아어, 일본어, 중국어"
